0,81,ADS,Alliance Data Systems Corporation,Financial,Credit Services,USA,2.03B,7.53
1,82,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,51.80B,136.24
2,83,ADSW,"Advanced Disposal Services, Inc.",Industrials,Waste Management,USA,2.73B,15030.00
3,84,ADT,ADT Inc.,Industrials,Security & Protection Services,USA,8.44B,-
4,85,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,481.12M,-
5,86,ADTX,"ADiTx Therapeutics, Inc.",Healthcare,Biotechnology,USA,14.74M,-
6,87,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.47B,46.41
7,88,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,1.13B,-
8,89,ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland,-,-
9,90,ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,27.20M,-
10,91,AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA,88.72M,-
11,92,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,18.93B,22.36
12,93,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,331.92M,4.23
13,94,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,5.56B,4.47
14,95,AEGN,Aegion Corporation,Industrials,Engineering & Construction,USA,441.53M,-
15,96,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,33.41M,-
16,97,AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA,2.35B,34.07
17,98,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,2.06B,8.84
18,99,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,20.22B,40.11
19,100,AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA,16.32M,-
0,101,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA,2.14B,-
1,102,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,39.21B,20.45
2,103,AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland,3.51B,3.34
3,104,AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,490.38M,-
4,105,AES,The AES Corporation,Utilities,Utilities - Diversified,USA,11.63B,61.13
5,106,AESE,Allied Esports Entertainment Inc.,Communication Services,Entertainment,USA,43.76M,-
6,107,AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA,24.21M,-
7,108,AEYE,"AudioEye, Inc.",Technology,Software - Application,USA,144.64M,-
8,109,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA,23.55M,-
9,110,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,5.82B,26.22
10,111,AFH,"Atlas Financial Holdings, Inc.",Financial,Insurance - Property & Casualty,USA,-,-
11,112,AFI,"Armstrong Flooring, Inc.",Industrials,Building Products & Equipment,USA,82.54M,-
12,113,AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,USA,920.18M,-
